sub,source,target,fold,1_test,2_test,3_test,4_test,5_test,6_test,1_train,2_train,3_train,4_train,5_train,6_train
6,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.8877551020408163,0.8122448979591836,0.47244897959183674,0.7551020408163265,0.7551020408163265,0.8469387755102041,0.9393011986738077,0.9313775510204082,0.8407757080887982,0.9336903851058403,0.8752551020408164,0.8586734693877551
7,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.7642857142857142,0.6377551020408163,0.7908163265306123,0.9102040816326531,0.7948979591836735,0.8653061224489796,0.8821428571428571,0.8849489795918367,0.8594387755102041,0.9311048736922685,0.9318877551020408,0.872161265628987
7,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.7030612244897959,0.7744897959183673,0.7459183673469387,0.9040816326530612,0.8612244897959184,0.7244897959183674,0.8956632653061225,0.8709183673469387,0.8681122448979591,0.935953049247257,0.9318877551020408,0.8966573105384027
7,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.773469387755102,0.6959183673469388,0.7051020408163265,0.8489795918367347,0.8316326530612245,0.8214285714285714,0.8895408163265306,0.8790816326530613,0.8568877551020408,0.9356978821127838,0.935204081632653,0.8869609594284256
7,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.7795918367346939,0.7714285714285715,0.7612244897959184,0.7415730337078652,0.8775510204081632,0.7691521961184883,0.8918367346938776,0.8612244897959184,0.8607142857142858,0.9456632653061224,0.9390306122448979,0.8668367346938776
7,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.753061224489796,0.5989795918367347,0.6857142857142857,0.8714285714285714,0.8510204081632653,0.789795918367347,0.8905612244897959,0.878061224489796,0.8589285714285714,0.9402908905332993,0.9339285714285714,0.8874712936973718
8,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.8071428571428572,0.8918367346938776,0.5326530612244897,0.7510204081632653,0.8418367346938775,0.9122448979591836,0.9372609028309105,0.9387755102040817,0.9015306122448979,0.9681122448979592,0.9,0.9283163265306122
8,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.6632653061224489,0.8346938775510204,0.7816326530612245,0.9316326530612244,0.8418367346938775,0.8479591836734693,0.9446569752614129,0.9512755102040816,0.8971938775510204,0.948469387755102,0.8926020408163265,0.9298469387755102
8,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.85,0.8040816326530612,0.7234693877551021,0.9173469387755102,0.7816326530612245,0.8489795918367347,0.9326702371843917,0.9362244897959183,0.8923469387755102,0.9466836734693878,0.9099489795918367,0.934438775510204
8,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.8980632008154944,0.9132653061224489,0.6244897959183674,0.9326530612244898,0.6959183673469388,0.8479591836734693,0.9260204081632653,0.9336734693877551,0.8971938775510204,0.9403061224489796,0.9229591836734694,0.9362244897959183
8,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.8795918367346939,0.8285714285714286,0.7428571428571429,0.9112244897959184,0.8459183673469388,0.8459183673469388,0.9089517980107116,0.9408163265306122,0.8936224489795919,0.9487244897959184,0.8959183673469387,0.9446428571428571
