sub,source,target,fold,1_test,2_test,3_test,4_test,5_test,6_test,1_train,2_train,3_train,4_train,5_train,6_train
1,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.8571428571428571,0.8357142857142857,0.8642857142857143,0.9306829765545361,0.8704081632653061,0.9734693877551021,0.9313775510204082,0.9642857142857143,0.9518103008669047,0.9635297118082122,0.9520652728199898,0.9727040816326531
1,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.8438775510204082,0.9091836734693878,0.8663265306122448,0.9214285714285714,0.8510204081632653,0.9244897959183673,0.9359693877551021,0.9668367346938775,0.9528301886792453,0.9658337582865885,0.9543600203977562,0.9808673469387755
1,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.8428571428571429,0.9346938775510204,0.8481141692150866,0.908256880733945,0.9245667686034659,0.9295918367346939,0.9392857142857143,0.960969387755102,0.9533282325937261,0.9660800816118337,0.9487375669472073,0.9737244897959184
1,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.8561224489795919,0.9244897959183673,0.8714285714285714,0.9153061224489796,0.8939857288481141,0.9612244897959183,0.9318877551020408,0.9607142857142857,0.9418663946965834,0.9604793472718001,0.9502677888293802,0.9744897959183674
1,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.8785714285714286,0.8918367346938776,0.9051987767584098,0.9255102040816326,0.9132653061224489,0.9693877551020408,0.9339285714285714,0.9625,0.9492476409079317,0.9609892911779704,0.9479857215706272,0.9747448979591836
2,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.6632653061224489,0.6704081632653062,0.7112244897959183,0.7755102040816326,0.8336734693877551,0.6346938775510204,0.8002551020408163,0.8198979591836735,0.7515306122448979,0.8446428571428571,0.888265306122449,0.7306122448979592
2,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.713265306122449,0.7479591836734694,0.6030612244897959,0.8530612244897959,0.7255102040816327,0.5663265306122449,0.8017857142857143,0.8012755102040816,0.7676020408163265,0.8400510204081633,0.8997448979591837,0.7290816326530613
2,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.6387755102040816,0.7142857142857143,0.5795918367346938,0.5755102040816327,0.7979591836734694,0.6173469387755102,0.8153061224489796,0.8063775510204082,0.7668367346938776,0.8683673469387755,0.8818877551020409,0.7413265306122448
2,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.7010204081632653,0.6622448979591836,0.6265306122448979,0.7295918367346939,0.9020408163265307,0.5918367346938775,0.8022959183673469,0.8191326530612245,0.7543367346938775,0.860204081632653,0.874234693877551,0.7290816326530613
2,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.7040816326530612,0.6938775510204082,0.5295918367346939,0.6836734693877551,0.8316326530612245,0.689795918367347,0.798469387755102,0.8084183673469387,0.7780612244897959,0.8563775510204081,0.8806122448979592,0.7216836734693878
