sub,source,target,fold,z_acc,score1,score2,score3,score4,score5,score6,score7,score8,score9
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.6188001889466226,0.9702572347266881,0.9621212121212122,0.9761467889908257,0.9652777777777778,0.9712586719524281,0.9529850746268657,0.9668141592920354,0.9648535564853556,0.9841740850642928
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.6096938775510204,0.961890243902439,0.970873786407767,0.973458904109589,0.9208087615838247,0.95,0.9644300727566694,0.9648692810457516,0.9655172413793104,0.9869346733668342
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.5735335789175404,0.9525423728813559,0.971830985915493,0.9671361502347418,0.9505597014925373,0.9598623853211009,0.9502177971375233,0.9499089253187614,0.9772899318697956,0.9806094182825484
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.5648148148148148,0.9613069647463457,0.9466929911154985,0.9692307692307692,0.9284712482468443,0.9898039215686274,0.9772296015180265,0.9754098360655737,0.9648014440433214,0.9786450662739322
1,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.6079931972789115,0.9614093959731543,0.9911971830985915,0.9735553379040157,0.9543046357615894,0.9744268077601411,0.9636510500807755,0.9783783783783784,0.9769585253456221,0.9932773109243698
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.47241118669690096,0.9763001974983542,0.9266441821247892,0.9688679245283018,0.9487179487179487,0.9277942631058358,0.8963684676705048,0.9719626168224299,0.9646241313960834,0.9745958429561201
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.44908369544681653,0.9660633484162896,0.940359477124183,0.9839255499153976,0.9604221635883905,0.8821490467937608,0.9370300751879699,0.9782608695652174,0.9546762589928057,0.9879518072289156
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.43905895691609975,0.9658002735978112,0.9230769230769231,0.9865107913669064,0.9211502782931354,0.9092805005213764,0.9137931034482759,0.9646672144617913,0.9300833867864016,0.9809630459126539
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.4584789796882381,0.9640122511485452,0.9484386347131445,0.973816717019134,0.9134720700985761,0.9650043744531933,0.9036697247706422,0.9859402460456942,0.9554730983302412,0.9533730158730159
2,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.4562033449872437,0.9786747905559787,0.9651162790697675,0.9761029411764706,0.9599673202614379,0.9558117195004803,0.9421686746987952,0.9720338983050848,0.9246275197195443,0.9886899151743638
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.5556500377928949,0.9581804842259721,0.9396853146853147,0.9406952965235174,0.9220576773187841,0.9460654288240495,0.9551282051282052,0.9387755102040817,0.9597915115413254,0.918967052537845
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.5726568405139834,0.9230028873917228,0.950187969924812,0.9645191409897292,0.9540581929555896,0.9662522202486679,0.9441048034934498,0.9746192893401016,0.9375917767988252,0.9231962761830876
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.5467687074829932,0.89501312335958,0.9467329545454546,0.9667541557305337,0.9473206176203451,0.967833491012299,0.9640776699029127,0.9619124797406807,0.9612462006079028,0.9470486111111112
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.5348199943305301,0.9021834061135371,0.9256410256410257,0.9722222222222222,0.9165545087483177,0.961081081081081,0.9515981735159817,0.9295652173913044,0.9285309132161089,0.9253174010455564
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.5687830687830688,0.9370212765957446,0.9246901811248809,0.9516129032258065,0.913527397260274,0.9522983521248916,0.9609250398724083,0.9639084507042254,0.961218836565097,0.9090196078431373
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.623937275647081,0.9011532125205931,0.8805031446540881,0.8784165881244109,0.9047195013357079,0.9003294892915981,0.9375,0.9229122055674518,0.8958195089581951,0.8974540311173974
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.5961065961065961,0.8675496688741722,0.8791606367583212,0.8717008797653959,0.9471502590673575,0.8805429864253393,0.9344729344729344,0.9387978142076503,0.9339488636363636,0.8777194298574643
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.6133572643113546,0.9353233830845771,0.8985896574882472,0.8782104391052196,0.9347604485219164,0.8609958506224067,0.8980355472404116,0.911860718171926,0.9309446254071662,0.8955592105263158
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.6459140292867265,0.9151090342679128,0.9073652239939256,0.8814949863263446,0.9090157154673284,0.906508875739645,0.9279538904899135,0.9425981873111783,0.9091530054644809,0.9408239700374532
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.6241496598639455,0.9044309296264118,0.9019756838905775,0.8639191290824261,0.8940754039497307,0.9049881235154394,0.9104095563139932,0.9244060475161987,0.9378415300546448,0.9055597867479056
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.5581065759637188,0.9489878542510122,0.9535315985130112,0.880057803468208,0.9645120405576679,0.9165562913907285,0.8741188318227593,0.9537117903930131,0.947075208913649,0.9338181818181818
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.5613189720332578,0.9121771217712177,0.9357080799304952,0.904,0.9666666666666667,0.8736988202637057,0.9328585961342828,0.955685618729097,0.9511754068716094,0.8798701298701299
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.5589569160997733,0.9021739130434783,0.9483870967741935,0.9001457725947521,0.9610705596107056,0.8909853249475891,0.9232365145228216,0.954337899543379,0.9451052150045746,0.8774574049803407
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.5428436466698158,0.8966431095406361,0.9330396475770925,0.8998493975903614,0.953125,0.9008464328899637,0.9066059225512528,0.9307450157397692,0.9423631123919308,0.8979166666666667
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.5793650793650794,0.9233016800584368,0.9447278911564626,0.9083333333333333,0.9235095613048369,0.9297709923664123,0.9205909510618652,0.9419680403700589,0.9396636993076162,0.9602063375092115
6,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.6197675517339128,0.9786286731967943,0.9673590504451038,0.9257518796992481,0.9469350411710887,0.9717791411042945,0.9295120061967467,0.915863277826468,0.9768439108061749,0.9692946058091286
6,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.6026077097505669,0.9491869918699187,0.94,0.9106529209621993,0.9542429284525791,0.9639024390243902,0.9119718309859155,0.9339774557165862,0.9839255499153976,0.9474562135112594
6,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.6207254864915926,0.9562706270627063,0.9765957446808511,0.9094608341810784,0.9535080304311073,0.9619883040935673,0.9439406430338005,0.9050228310502283,0.9928457869634341,0.9577114427860697
6,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.6110533774208786,0.9502392344497608,0.9723502304147466,0.9117903930131004,0.9603174603174603,0.9702444208289054,0.9236883942766295,0.9063063063063063,0.9856175972927242,0.9488409272581935
6,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.5982615268329554,0.9725050916496945,0.9327052489905787,0.9415041782729805,0.9588323353293413,0.9736842105263158,0.9081385979049154,0.9667497921862012,0.9277605779153767,0.9612341772151899
7,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.586868209730751,0.927637314734089,0.815916955017301,0.8897849462365591,0.9021097046413502,0.8979370249728555,0.9138513513513513,0.9527845036319612,0.8860377358490567,0.9171309192200557
